raw_hex,display_code,english,thai,malaysia
0000,00-00,,,
0011,00-11,,,"Code ""11"" : Posisi sensor silinder bermasalah"
0012,00-12,,,"Code ""12"" : Tiada isyarat normal diterima dari posisi crankshat sensor"
0013,00-13,,,"Code ""13"" : Pengambilan tekanan udara terbuka atau litar pintas diesan"
0014,00-14,,,"Code ""14"" : Kerosakan dikesan pada paip intake tekanan udaro"
0015,00-15,,,"Code ""15"" : Posisi throttle sensor terbuka atau litar pintas dikesan"
0016,00-16,,,"Code ""16"" : Sensor throttle posisi tersangkut dikesan"
0019,00-19,,,"Code ""19"" : Litar terbuka pada garis input ECU No.4 dikesan kehka butang start ditekan"
0021,00-21,,,"Code ""21"" : Sensor-open coolan temperature atau litar pintas dikesan"
0022,00-22,,,"Code ""22"" : Intake air temperature sensor-open atau litar pintas dikesan"
0030,00-30,,,"Code ""30"" : Motosikal telah terbalilc"
0033,00-33,,,"Code ""33"" : Litar terbuka dikesan pada primary lead ignition coil #1, #4"
0034,00-34,,,"Code ""34"" : Litar terbuka dikesan pada primary lead ignition coil #2, #3"
0041,00-41,,,"Code ""41"" : Leanangle cut-off switch-open atau litar pintas dikesan"
0042,00-42,,,"Code ""42"" : Tiada isyarat normal yang diterima speed sensor, taupun litar terbuka atau pintas yang dikesan pada suis neutral"
0043,00-43,,,"Code ""43"" : Power supply pada injektor dan fuel pump tidak mencukupi"
0044,00-44,,,"Code ""44"" : 'Error' dikesan kehka membaca atau menulis EEPROM"
0046,00-46,,,"Code ""46"" : Power supply pada sistem FI  tidak normal"
0050,00-50,,,"Code ""50"" : Kerosakan pado memori ECU,nombor kod berkemungkinan tidak kelihatan pada meter"
0101,01-01,"Code ""01-01"" : MAP sensor voltage low","รหัส ""01-01"" : แรงดันตัวตรวจจับแรงดันสัมบูรณ์ในท่อไอดีต่ำ","Code ""01-01"" : Voltan map sensor rendah"
0102,01-02,"Code ""01-02"" : MAP sensor voltage high","รหัส ""01-02"" : แรงดันตัวตรวจจับแรงดันสัมบูรณ์ในท่อไอดีสูง","Code ""01-02"" : Voltan map sensor tinggi"
0201,02-01,"Code ""02-01"" : MAP sensor performance problem","รหัส ""02-01"" : ตัวตรวจจับแรงดันสัมบูรณ์ในท่อไอดีบกพร่อง","Code ""02-01"" : MAP sensor performance bermasalah"
0701,07-01,"Code ""07-01"" : ECT/EOT sensor voltage low","รหัส ""07-01"" : แรงดันตัวตรวจจับอุณหภูมิน้ำหล่อเย็น หรืออุณหูมิน้ำมันหล่อลื่นของเครื่องยนต์ต่ำ","Code ""07-01"" : Voltan sensor ECT/EOT rendah"
0702,07-02,"Code ""07-02"" : ECT/EOT sensor voltage high","รหัส ""07-02"" : แรงดันตัวตรวจจับอุณหภูมิน้ำหล่อเย็น หรืออุณหูมิน้ำมันหล่อลื่นของเครื่องยนต์สูง","Code ""07-02"" : Voltan sensor ECT/EOT tinggi"
0801,08-01,"Code ""08-01"" : TPS sensor voltage low","รหัส ""08-01"" : แรงดันตัวตรวจจับตำแหน่งลิ้นเร่งต่ำ","Code ""08-01"" : Voltan sensor TPS  rendah"
0802,08-02,"Code ""08-02"" : TPS sensor voltage high","รหัส ""08-02"" : แรงดันตัวตรวจจับตำแหน่งลิ้นเร่งสูง","Code ""08-02"" : Voltan sensor TPS tinggi"
0901,09-01,"Code ""09-01"" : IAT sensor voltage low","รหัส ""09-01"" : แรงดันตัวตรวจจับอุณหภูมิอากศต่ำ","Code ""09-01"" : Voltan sensor IAT  rendah"
0902,09-02,"Code ""09-02"" : IAT sensor voltage high","รหัส ""09-02"" : แรงดันตัวตรวจจับอุณหภูมิอากาศสูง","Code ""09-02"" : Voltan sensor IAT tinggi"
0B01,0B-01,"Code ""0B-01"" : Vehicle speed sensor ciucuit mulfunction","รหัส ""0B-01"" : ตัวตรวจจับคามเร็วของรถบกพร่อง","Code ""0B-01"" : Litar speed sensor kenderaan bermasalah"
0C01,0C-01,"Code ""0C-01"" : No. 1 Primary injector malfunction","รหัส ""0C-01"" : หัวฉีด 1 บกพร่อง","Code ""0C-01"" : Injector vtama no. 1 bermasalah"
0D01,0D-01,"Code ""0D-01"" : No. 2 Primary injector malfunction","รหัส ""0D-01"" : หัวฉีด 2 บกพร่อง","Code ""0D-01"" : Injector vtama no. 2 bermasalah"
0E01,0E-01,"Code ""0E-01"" : No. 3 Primary injector malfunction","รหัส ""0E-01"" : หัวฉีด 3 บกพร่อง","Code ""0E-01"" : Injector vtama no. 3 bermasalah"
0F01,0F-01,"Code ""0F-01"" : No. 4 Primary injector malfunction","รหัส ""0F-01"" : หัวฉีด 4 บกพร่อง","Code ""0F-01"" : Injector vtama no. 4 bermasalah"
1501,15-01,"Code ""15-01"" : No. 1 O2 sensor circuit malfunction","รหัส ""15-01"" : ตัวตรวจจับปริมาณออกซิเจนตัวที่ 1 บกพร่อง","Code ""15-01"" : Litar O2 sensor no. 1 bermasalah"
